Date,MSCI World
12/2022,509285.8646089091
01/2023,545320.9400210453
02/2023,532212.2381301617
03/2023,548657.4407703836
04/2023,558275.1187781001
05/2023,552701.6357896752
06/2023,586127.8020471286
07/2023,605817.480309939
08/2023,591347.0871464558
09/2023,565837.313861165
10/2023,549419.0874015497
11/2023,600928.2867255508
12/2023,630430.4071936482
01/2024,637995.8547240201
02/2024,665045.3748286087
03/2024,686416.504575747
04/2024,660919.7410796849
05/2024,690431.1724753674
06/2024,704479.9591849749
07/2024,716894.6143299001
08/2024,735842.4795127707
09/2024,749318.6441758872
10/2024,734454.5135678072
11/2024,768156.1174707438
12/2024,748137.4956155735
01/2025,774538.2481425975
02/2025,768963.7447785466
